countyname,canonical,n,median_floor_area_m2,pct_masonry,pct_pre1945
Co. Wexford,Semi-Detached,10945,100.62,67.54682503426223,4.458656920968479
Co. Wexford,Terrace,7832,86.527,63.44484167517875,22.165474974463738
Co. Wicklow,Apartment,6585,75.6,40.242976461655275,8.200455580865604
Co. Wicklow,Bungalow,5570,122.0,55.493716337522436,15.637342908438063
Co. Wicklow,Detached,9938,180.145,53.80358220970014,13.403099215133828
Co. Wicklow,Semi-Detached,14306,109.88,48.81867747798127,7.940724171676219
Co. Wicklow,Terrace,9517,90.4,46.979090049385306,13.31301880844804
Cork City,Apartment,4430,63.365,59.39051918735891,17.291196388261852
Cork City,Bungalow,532,99.525,86.09022556390977,12.781954887218044
Cork City,Detached,1618,158.75,79.41903584672436,16.31644004944376
Cork City,Semi-Detached,4938,104.63499999999999,79.24260834345888,11.401377075739164
Cork City,Terrace,8544,81.32499999999999,81.12125468164794,26.521535580524347
Dublin 1,Apartment,10243,55.2,33.681538611734844,13.443327150248951
Dublin 1,Bungalow,5,21.56,60.0,40.0
Dublin 1,Detached,21,76.36,80.95238095238095,42.857142857142854
Dublin 1,Semi-Detached,71,82.58,77.46478873239437,25.352112676056336
Dublin 1,Terrace,1128,84.725,73.67021276595744,41.57801418439716
Dublin 10,Apartment,1538,67.345,17.035110533159948,0.7152145643693107
Dublin 10,Bungalow,29,71.34,93.10344827586206,3.4482758620689653
Dublin 10,Detached,48,94.035,66.66666666666666,16.666666666666664
Dublin 10,Semi-Detached,440,84.0,69.77272727272728,13.40909090909091
Dublin 10,Terrace,4407,78.81,66.39437258906285,17.835262083049695
Dublin 11,Apartment,6425,67.4,40.45136186770428,0.9649805447470816
Dublin 11,Bungalow,138,80.7,74.63768115942028,13.043478260869565
Dublin 11,Detached,344,106.64500000000001,67.15116279069767,5.813953488372093
Dublin 11,Semi-Detached,2834,106.92500000000001,48.62385321100918,6.069160197600565
Dublin 11,Terrace,7777,85.12,58.891603446058895,4.384724186704385
Dublin 12,Apartment,4124,64.68,31.110572259941804,3.1280310378273524
Dublin 12,Bungalow,103,92.21,48.54368932038835,26.21359223300971
Dublin 12,Detached,330,118.85,57.878787878787875,24.242424242424242
Dublin 12,Semi-Detached,2730,100.81,45.494505494505496,28.93772893772894
Dublin 12,Terrace,9257,81.81,49.249216808901366,35.57307983147888
Dublin 13,Apartment,5231,77.021,26.99292678264194,0.3823360734085261
Dublin 13,Bungalow,216,131.57,53.70370370370371,16.666666666666664
Dublin 13,Detached,1159,175.99,59.01639344262295,13.114754098360656
Dublin 13,Semi-Detached,3235,112.2,48.871715610510044,4.358578052550232
Dublin 13,Terrace,3398,103.7,55.179517363154794,4.355503237198352
Dublin 14,Apartment,3775,74.24,31.788079470198678,1.5099337748344372
Dublin 14,Bungalow,235,115.41,48.51063829787234,31.48936170212766
Dublin 14,Detached,1846,177.48000000000002,49.78331527627302,11.43011917659805
Dublin 14,Semi-Detached,4915,131.13,42.66531027466938,11.719226856561546
Dublin 14,Terrace,2748,89.655,51.382823871906844,12.77292576419214
Dublin 15,Apartment,9756,76.005,34.60434604346043,0.07175071750717507
Dublin 15,Bungalow,208,85.67,63.46153846153846,14.423076923076922
Dublin 15,Detached,2610,157.625,49.770114942528735,1.6858237547892718
Dublin 15,Semi-Detached,11847,112.9,49.5484088798852,0.5486621085506879
Dublin 15,Terrace,8570,93.86,49.696616102683784,0.3733955659276546
Dublin 16,Apartment,3138,73.985,26.131293817718294,0.41427660930529
Dublin 16,Bungalow,161,117.0,56.52173913043478,7.453416149068323
Dublin 16,Detached,1712,152.5335,53.154205607476634,1.7523364485981308
Dublin 16,Semi-Detached,6763,119.18,44.72867070826556,1.7152151412095225
Dublin 16,Terrace,2037,97.62,53.95189003436426,1.5218458517427589
Dublin 17,Apartment,2440,72.0,39.467213114754095,0.0
Dublin 17,Bungalow,53,77.65,88.67924528301887,11.320754716981133
Dublin 17,Detached,122,108.58000000000001,59.83606557377049,4.098360655737705
Dublin 17,Semi-Detached,1105,108.99,57.647058823529406,2.262443438914027
Dublin 17,Terrace,2725,82.5,79.96330275229357,0.22018348623853212
Dublin 18,Apartment,12445,77.18,15.70912012856569,0.08035355564483729
Dublin 18,Bungalow,343,142.42,48.68804664723032,11.078717201166182
Dublin 18,Detached,2419,193.17,46.30012401818934,6.572964034725093
Dublin 18,Semi-Detached,3405,126.69,39.177679882525695,2.2026431718061676
Dublin 18,Terrace,2836,117.61,40.091678420310295,1.1988716502115657
Dublin 19,Apartment,1,140.44,100.0,0.0
Dublin 19,Detached,1,192.4,100.0,0.0
Dublin 19,Semi-Detached,1,94.0,100.0,0.0
Dublin 19,Terrace,2,80.39,100.0,0.0
Dublin 2,Apartment,6081,58.79,35.63558625226114,15.605985857589214
Dublin 2,Bungalow,2,111.675,100.0,0.0
Dublin 2,Detached,20,101.58500000000001,45.0,50.0
Dublin 2,Semi-Detached,61,110.6,36.0655737704918,22.950819672131146
