source,canonical_type,metric,depth_m,damage_ratio
OS2_pluvial_shape,Terrace,shape_normalised,1.0,1.0
OS2_pluvial_shape,Terrace,shape_normalised,1.25,1.0
OS2_pluvial_shape,Terrace,shape_normalised,1.5,1.0
OS2_pluvial_shape,Terrace,shape_normalised,2.0,1.0
OS2_pluvial_shape,Terrace,shape_normalised,2.5,1.0
OS2_pluvial_shape,Terrace,shape_normalised,3.0,1.0
OS2_pluvial_shape,Apartment,shape_normalised,0.0,1.0
OS2_pluvial_shape,Apartment,shape_normalised,0.25,1.0
OS2_pluvial_shape,Apartment,shape_normalised,0.5,1.0
OS2_pluvial_shape,Apartment,shape_normalised,0.75,1.0
OS2_pluvial_shape,Apartment,shape_normalised,1.0,1.0
OS2_pluvial_shape,Apartment,shape_normalised,1.25,1.0
OS2_pluvial_shape,Apartment,shape_normalised,1.5,1.0
OS2_pluvial_shape,Apartment,shape_normalised,2.0,1.0
OS2_pluvial_shape,Apartment,shape_normalised,2.5,1.0
OS2_pluvial_shape,Apartment,shape_normalised,3.0,1.0
OS2_fluvial_shape,Detached,shape_normalised,0.0,0.0
OS2_fluvial_shape,Detached,shape_normalised,0.25,0.5235
OS2_fluvial_shape,Detached,shape_normalised,0.5,0.6564
OS2_fluvial_shape,Detached,shape_normalised,0.75,0.7342
OS2_fluvial_shape,Detached,shape_normalised,1.0,0.7893
OS2_fluvial_shape,Detached,shape_normalised,1.25,0.8321
OS2_fluvial_shape,Detached,shape_normalised,1.5,0.8671
OS2_fluvial_shape,Detached,shape_normalised,2.0,0.9222
OS2_fluvial_shape,Detached,shape_normalised,2.5,0.965
OS2_fluvial_shape,Detached,shape_normalised,3.0,1.0
OS2_fluvial_shape,Semi-Detached,shape_normalised,0.0,0.0
OS2_fluvial_shape,Semi-Detached,shape_normalised,0.25,0.5235
OS2_fluvial_shape,Semi-Detached,shape_normalised,0.5,0.6564
OS2_fluvial_shape,Semi-Detached,shape_normalised,0.75,0.7342
OS2_fluvial_shape,Semi-Detached,shape_normalised,1.0,0.7893
OS2_fluvial_shape,Semi-Detached,shape_normalised,1.25,0.8321
OS2_fluvial_shape,Semi-Detached,shape_normalised,1.5,0.8671
OS2_fluvial_shape,Semi-Detached,shape_normalised,2.0,0.9222
OS2_fluvial_shape,Semi-Detached,shape_normalised,2.5,0.965
OS2_fluvial_shape,Semi-Detached,shape_normalised,3.0,1.0
OS2_fluvial_shape,Terrace,shape_normalised,0.0,0.0
OS2_fluvial_shape,Terrace,shape_normalised,0.25,0.5235
OS2_fluvial_shape,Terrace,shape_normalised,0.5,0.6564
OS2_fluvial_shape,Terrace,shape_normalised,0.75,0.7342
OS2_fluvial_shape,Terrace,shape_normalised,1.0,0.7893
OS2_fluvial_shape,Terrace,shape_normalised,1.25,0.8321
OS2_fluvial_shape,Terrace,shape_normalised,1.5,0.8671
OS2_fluvial_shape,Terrace,shape_normalised,2.0,0.9222
OS2_fluvial_shape,Terrace,shape_normalised,2.5,0.965
OS2_fluvial_shape,Terrace,shape_normalised,3.0,1.0
OS2_fluvial_shape,Apartment,shape_normalised,0.0,0.0
OS2_fluvial_shape,Apartment,shape_normalised,0.25,0.5235
OS2_fluvial_shape,Apartment,shape_normalised,0.5,0.6564
OS2_fluvial_shape,Apartment,shape_normalised,0.75,0.7342
OS2_fluvial_shape,Apartment,shape_normalised,1.0,0.7893
OS2_fluvial_shape,Apartment,shape_normalised,1.25,0.8321
OS2_fluvial_shape,Apartment,shape_normalised,1.5,0.8671
OS2_fluvial_shape,Apartment,shape_normalised,2.0,0.9222
OS2_fluvial_shape,Apartment,shape_normalised,2.5,0.965
OS2_fluvial_shape,Apartment,shape_normalised,3.0,1.0
